0. 0.
0.05 -0.00011039690418951364
0.1 -0.0004809270904496399
0.15000000000000002 -0.0011474014232364521
0.2 -0.0020932946776189565
0.25 -0.0033860044043136778
0.30000000000000004 -0.0049930466541071306
0.35000000000000003 -0.0069520178318446535
0.4 -0.009262317202976711
0.45 -0.011950377826550673
0.5 -0.015010928958380465
0.55 -0.018346612831406026
0.6000000000000001 -0.022096367798427677
0.65 -0.02609384254571214
0.7000000000000001 -0.030400157992481462
0.75 -0.034882819955435976
0.8 -0.0394871727969969
0.8500000000000001 -0.04407229420956338
0.9 -0.048473125236244474
0.9500000000000001 -0.052493796510202737
1. -0.055784077516378726
1.05 -0.057819850930266724
1.1 -0.05727252951748495
1.1500000000000001 -0.05228297841544233
1.2000000000000002 -0.0475543942402228
1.25 -0.04333040789371316
1.3 -0.039537102230451426
1.35 -0.036088747733088664
1.4000000000000001 -0.032948728183041946
1.4500000000000002 -0.030060457956783256
1.5 -0.027365903604129174
1.55 -0.024856308633857106
1.6 -0.022491898528020762
1.6500000000000001 -0.02023479099906335
1.7000000000000002 -0.018046995383989087
1.75 -0.015893215708965562
1.8 -0.013745711873950668
1.85 -0.011531820814621539
1.9000000000000001 -0.009133624960034399
1.9500000000000002 -0.006276461040654917
2. -6.14471350326765e-6
